saison;Spieltag;Datum;time;Ort;gegner;score1;score2;win;already_meister;win_draw;lose;
2020-21;32;08.05.21;18:30;H;Bor. Mönchengladbach;6;0;1;0;1;0;
2020-21;33;15.05.21;15:30;A;SC Freiburg;2;2;0;1;1;0;
2020-21;34;22.05.21;15:30;H;FC Augsburg;5;2;1;1;1;0;
2019-20;1;16.08.19;20:30;H;Hertha BSC;2;2;0;0;1;0;
2019-20;2;24.08.19;18:30;A;FC Schalke 04;3;0;1;0;1;0;
2019-20;3;31.08.19;15:30;H;1. FSV Mainz 05;6;1;1;0;1;0;
2019-20;4;14.09.19;18:30;A;RB Leipzig;1;1;0;0;1;0;
2019-20;5;21.09.19;15:30;H;1. FC Köln;4;0;1;0;1;0;
2019-20;6;28.09.19;15:30;A;SC Paderborn 07;3;2;1;0;1;0;
2019-20;7;05.10.19;15:30;H;1899 Hoffenheim;1;2;0;0;0;1;
2019-20;8;19.10.19;15:30;A;FC Augsburg;2;2;0;0;1;0;
2019-20;9;26.10.19;15:30;H;1. FC Union Berlin;2;1;1;0;1;0;
2019-20;10;02.11.19;15:30;A;Eintracht Frankfurt;1;5;0;0;0;1;
2019-20;11;09.11.19;18:30;H;Borussia Dortmund;4;0;1;0;1;0;
2019-20;12;23.11.19;15:30;A;Fortuna Düsseldorf;4;0;1;0;1;0;
2019-20;13;30.11.19;18:30;H;Bayer Leverkusen;1;2;0;0;0;1;
2019-20;14;07.12.19;15:30;A;Bor. Mönchengladbach;1;2;0;0;0;1;
2019-20;15;14.12.19;15:30;H;Werder Bremen;6;1;1;0;1;0;
2019-20;16;18.12.19;20:30;A;SC Freiburg;3;1;1;0;1;0;
2019-20;17;21.12.19;15:30;H;VfL Wolfsburg;2;0;1;0;1;0;
2019-20;18;19.01.20;15:30;A;Hertha BSC;4;0;1;0;1;0;
2019-20;19;25.01.20;18:30;H;FC Schalke 04;5;0;1;0;1;0;
2019-20;20;01.02.20;15:30;A;1. FSV Mainz 05;3;1;1;0;1;0;
2019-20;21;09.02.20;18:00;H;RB Leipzig;0;0;0;0;1;0;
2019-20;22;16.02.20;15:30;A;1. FC Köln;4;1;1;0;1;0;
2019-20;23;21.02.20;20:30;H;SC Paderborn 07;3;2;1;0;1;0;
2019-20;24;29.02.20;15:30;A;1899 Hoffenheim;6;0;1;0;1;0;
2019-20;25;08.03.20;15:30;H;FC Augsburg;2;0;1;0;1;0;
2019-20;26;17.05.20;18:00;A;1. FC Union Berlin;2;0;1;0;1;0;
2019-20;27;23.05.20;18:30;H;Eintracht Frankfurt;5;2;1;0;1;0;
2019-20;28;26.05.20;18:30;A;Borussia Dortmund;1;0;1;0;1;0;
2019-20;29;30.05.20;18:30;H;Fortuna Düsseldorf;5;0;1;0;1;0;
2019-20;30;06.06.20;15:30;A;Bayer Leverkusen;4;2;1;0;1;0;
2019-20;31;13.06.20;18:30;H;Bor. Mönchengladbach;2;1;1;0;1;0;
2019-20;32;16.06.20;20:30;A;Werder Bremen;1;0;1;0;1;0;
2019-20;33;20.06.20;15:30;H;SC Freiburg;3;1;1;1;1;0;
2019-20;34;27.06.20;15:30;A;VfL Wolfsburg;4;0;1;1;1;0;
2018-19;1;24.08.18;20:30;H;1899 Hoffenheim;3;1;1;0;1;0;
2018-19;2;01.09.18;18:30;A;VfB Stuttgart;3;0;1;0;1;0;
2018-19;3;15.09.18;15:30;H;Bayer Leverkusen;3;1;1;0;1;0;
2018-19;4;22.09.18;18:30;A;FC Schalke 04;2;0;1;0;1;0;
2018-19;5;25.09.18;20:30;H;FC Augsburg;1;1;0;0;1;0;
2018-19;6;28.09.18;20:30;A;Hertha BSC;0;2;0;0;0;1;
2018-19;7;06.10.18;18:30;H;Bor. Mönchengladbach;0;3;0;0;0;1;
2018-19;8;20.10.18;15:30;A;VfL Wolfsburg;3;1;1;0;1;0;
2018-19;9;27.10.18;15:30;A;1. FSV Mainz 05;2;1;1;0;1;0;
2018-19;10;03.11.18;15:30;H;SC Freiburg;1;1;0;0;1;0;
2018-19;11;10.11.18;18:30;A;Borussia Dortmund;2;3;0;0;0;1;
2018-19;12;24.11.18;15:30;H;Fortuna Düsseldorf;3;3;0;0;1;0;
2018-19;13;01.12.18;15:30;A;Werder Bremen;2;1;1;0;1;0;
2018-19;14;08.12.18;15:30;H;1. FC Nürnberg;3;0;1;0;1;0;
2018-19;15;15.12.18;15:30;A;Hannover 96;4;0;1;0;1;0;
2018-19;16;19.12.18;20:30;H;RB Leipzig;1;0;1;0;1;0;
2018-19;17;22.12.18;18:30;A;Eintracht Frankfurt;3;0;1;0;1;0;
2018-19;18;18.01.19;20:30;A;1899 Hoffenheim;3;1;1;0;1;0;
2018-19;19;27.01.19;15:30;H;VfB Stuttgart;4;1;1;0;1;0;
2018-19;20;02.02.19;15:30;A;Bayer Leverkusen;1;3;0;0;0;1;
2018-19;21;09.02.19;18:30;H;FC Schalke 04;3;1;1;0;1;0;
2018-19;22;15.02.19;20:30;A;FC Augsburg;3;2;1;0;1;0;
2018-19;23;23.02.19;15:30;H;Hertha BSC;1;0;1;0;1;0;
2018-19;24;02.03.19;18:30;A;Bor. Mönchengladbach;5;1;1;0;1;0;
2018-19;25;09.03.19;15:30;H;VfL Wolfsburg;6;0;1;0;1;0;
2018-19;26;17.03.19;18:00;H;1. FSV Mainz 05;6;0;1;0;1;0;
2018-19;27;30.03.19;15:30;A;SC Freiburg;1;1;0;0;1;0;
2018-19;28;06.04.19;18:30;H;Borussia Dortmund;5;0;1;0;1;0;
2018-19;29;14.04.19;15:30;A;Fortuna Düsseldorf;4;1;1;0;1;0;
2018-19;30;20.04.19;15:30;H;Werder Bremen;1;0;1;0;1;0;
2018-19;31;28.04.19;18:00;A;1. FC Nürnberg;1;1;0;0;1;0;
2018-19;32;04.05.19;15:30;H;Hannover 96;3;1;1;0;1;0;
2018-19;33;11.05.19;15:30;A;RB Leipzig;0;0;0;0;1;0;
2018-19;34;18.05.19;15:30;H;Eintracht Frankfurt;5;1;1;0;1;0;
2017-18;1;18.08.17;20:30;H;Bayer Leverkusen;3;1;1;0;1;0;
2017-18;2;26.08.17;15:30;A;Werder Bremen;2;0;1;0;1;0;
2017-18;3;09.09.17;18:30;A;1899 Hoffenheim;0;2;0;0;0;1;
2017-18;4;16.09.17;15:30;H;1. FSV Mainz 05;4;0;1;0;1;0;
2017-18;5;19.09.17;20:30;A;FC Schalke 04;3;0;1;0;1;0;
2017-18;6;22.09.17;20:30;H;VfL Wolfsburg;2;2;0;0;1;0;
2017-18;7;01.10.17;15:30;A;Hertha BSC;2;2;0;0;1;0;
2017-18;8;14.10.17;15:30;H;SC Freiburg;5;0;1;0;1;0;
2017-18;9;21.10.17;18:30;A;Hamburger SV;1;0;1;0;1;0;
2017-18;10;28.10.17;18:30;H;RB Leipzig;2;0;1;0;1;0;
2017-18;11;04.11.17;18:30;A;Borussia Dortmund;3;1;1;0;1;0;
2017-18;12;18.11.17;15:30;H;FC Augsburg;3;0;1;0;1;0;
2017-18;13;25.11.17;18:30;A;Bor. Mönchengladbach;1;2;0;0;0;1;
2017-18;14;02.12.17;15:30;H;Hannover 96;3;1;1;0;1;0;
2017-18;15;09.12.17;15:30;A;Eintracht Frankfurt;1;0;1;0;1;0;
2017-18;16;13.12.17;20:30;H;1. FC Köln;1;0;1;0;1;0;
2017-18;17;16.12.17;15:30;A;VfB Stuttgart;1;0;1;0;1;0;
2017-18;18;12.01.18;20:30;A;Bayer Leverkusen;3;1;1;0;1;0;
2017-18;19;21.01.18;15:30;H;Werder Bremen;4;2;1;0;1;0;
2017-18;20;27.01.18;15:30;H;1899 Hoffenheim;5;2;1;0;1;0;
2017-18;21;03.02.18;15:30;A;1. FSV Mainz 05;2;0;1;0;1;0;
2017-18;22;10.02.18;18:30;H;FC Schalke 04;2;1;1;0;1;0;
2017-18;23;17.02.18;15:30;A;VfL Wolfsburg;2;1;1;0;1;0;
2017-18;24;24.02.18;15:30;H;Hertha BSC;0;0;0;0;1;0;
2017-18;25;04.03.18;18:00;A;SC Freiburg;4;0;1;0;1;0;
2017-18;26;10.03.18;15:30;H;Hamburger SV;6;0;1;0;1;0;
2017-18;27;18.03.18;18:00;A;RB Leipzig;1;2;0;0;0;1;
2017-18;28;31.03.18;18:30;H;Borussia Dortmund;6;0;1;0;1;0;
2017-18;29;07.04.18;15:30;A;FC Augsburg;4;1;1;0;1;0;
2017-18;30;14.04.18;18:30;H;Bor. Mönchengladbach;5;1;1;1;1;0;
2017-18;31;21.04.18;15:30;A;Hannover 96;3;0;1;1;1;0;
2017-18;32;28.04.18;15:30;H;Eintracht Frankfurt;4;1;1;1;1;0;
2017-18;33;05.05.18;15:30;A;1. FC Köln;3;1;1;1;1;0;
2017-18;34;12.05.18;15:30;H;VfB Stuttgart;1;4;0;1;0;1;
2016-17;1;26.08.16;20:30;H;Werder Bremen;6;0;1;0;1;0;
2016-17;2;09.09.16;20:30;A;FC Schalke 04;2;0;1;0;1;0;
2016-17;3;17.09.16;15:30;H;FC Ingolstadt 04;3;1;1;0;1;0;
2016-17;4;21.09.16;20:00;H;Hertha BSC;3;0;1;0;1;0;
2016-17;5;24.09.16;15:30;A;Hamburger SV;1;0;1;0;1;0;
2016-17;6;01.10.16;15:30;H;1. FC Köln;1;1;0;0;1;0;
2016-17;7;15.10.16;15:30;A;Eintracht Frankfurt;2;2;0;0;1;0;
2016-17;8;22.10.16;18:30;H;Bor. Mönchengladbach;2;0;1;0;1;0;
2016-17;9;29.10.16;15:30;A;FC Augsburg;3;1;1;0;1;0;
2016-17;10;05.11.16;15:30;H;1899 Hoffenheim;1;1;0;0;1;0;
2016-17;11;19.11.16;18:30;A;Borussia Dortmund;0;1;0;0;0;1;
2016-17;12;26.11.16;18:30;H;Bayer Leverkusen;2;1;1;0;1;0;
2016-17;13;02.12.16;20:30;A;1. FSV Mainz 05;3;1;1;0;1;0;
2016-17;14;10.12.16;15:30;H;VfL Wolfsburg;5;0;1;0;1;0;
2016-17;15;18.12.16;15:30;A;SV Darmstadt 98;1;0;1;0;1;0;
2016-17;16;21.12.16;20:00;H;RB Leipzig;3;0;1;0;1;0;
2016-17;17;20.01.17;20:30;A;SC Freiburg;2;1;1;0;1;0;
2016-17;18;28.01.17;15:30;A;Werder Bremen;2;1;1;0;1;0;
2016-17;19;04.02.17;15:30;H;FC Schalke 04;1;1;0;0;1;0;
2016-17;20;11.02.17;15:30;A;FC Ingolstadt 04;2;0;1;0;1;0;
2016-17;21;18.02.17;15:30;A;Hertha BSC;1;1;0;0;1;0;
2016-17;22;25.02.17;15:30;H;Hamburger SV;8;0;1;0;1;0;
2016-17;23;04.03.17;15:30;A;1. FC Köln;3;0;1;0;1;0;
2016-17;24;11.03.17;15:30;H;Eintracht Frankfurt;3;0;1;0;1;0;
2016-17;25;19.03.17;17:30;A;Bor. Mönchengladbach;1;0;1;0;1;0;
2016-17;26;01.04.17;15:30;H;FC Augsburg;6;0;1;0;1;0;
2016-17;27;04.04.17;20:00;A;1899 Hoffenheim;0;1;0;0;0;1;
2016-17;28;08.04.17;18:30;H;Borussia Dortmund;4;1;1;0;1;0;
2016-17;29;15.04.17;18:30;A;Bayer Leverkusen;0;0;0;0;1;0;
2016-17;30;22.04.17;15:30;H;1. FSV Mainz 05;2;2;0;0;1;0;
2016-17;31;29.04.17;18:30;A;VfL Wolfsburg;6;0;1;0;1;0;
2016-17;32;06.05.17;15:30;H;SV Darmstadt 98;1;0;1;1;1;0;
2016-17;33;13.05.17;15:30;A;RB Leipzig;5;4;1;1;1;0;
2016-17;34;20.05.17;15:30;H;SC Freiburg;4;1;1;1;1;0;
2015-16;1;14.08.15;20:30;H;Hamburger SV;5;0;1;0;1;0;
2015-16;2;22.08.15;15:30;A;1899 Hoffenheim;2;1;1;0;1;0;
2015-16;3;29.08.15;18:30;H;Bayer Leverkusen;3;0;1;0;1;0;
2015-16;4;12.09.15;15:30;H;FC Augsburg;2;1;1;0;1;0;
2015-16;5;19.09.15;15:30;A;SV Darmstadt 98;3;0;1;0;1;0;
2015-16;6;22.09.15;20:00;H;VfL Wolfsburg;5;1;1;0;1;0;
2015-16;7;26.09.15;15:30;A;1. FSV Mainz 05;3;0;1;0;1;0;
2015-16;8;04.10.15;17:30;H;Borussia Dortmund;5;1;1;0;1;0;
2015-16;9;17.10.15;15:30;A;Werder Bremen;1;0;1;0;1;0;
2015-16;10;24.10.15;15:30;H;1. FC Köln;4;0;1;0;1;0;
2015-16;11;30.10.15;20:30;A;Eintracht Frankfurt;0;0;0;0;1;0;
2015-16;12;07.11.15;15:30;H;VfB Stuttgart;4;0;1;0;1;0;
2015-16;13;21.11.15;18:30;A;FC Schalke 04;3;1;1;0;1;0;
2015-16;14;28.11.15;15:30;H;Hertha BSC;2;0;1;0;1;0;
2015-16;15;05.12.15;15:30;A;Bor. Mönchengladbach;1;3;0;0;0;1;
2015-16;16;12.12.15;15:30;H;FC Ingolstadt 04;2;0;1;0;1;0;
2015-16;17;19.12.15;15:30;A;Hannover 96;1;0;1;0;1;0;
2015-16;18;22.01.16;20:30;A;Hamburger SV;2;1;1;0;1;0;
2015-16;19;31.01.16;17:30;H;1899 Hoffenheim;2;0;1;0;1;0;
2015-16;20;06.02.16;18:30;A;Bayer Leverkusen;0;0;0;0;1;0;
2015-16;21;14.02.16;17:30;A;FC Augsburg;3;1;1;0;1;0;
2015-16;22;20.02.16;15:30;H;SV Darmstadt 98;3;1;1;0;1;0;
2015-16;23;27.02.16;15:30;A;VfL Wolfsburg;2;0;1;0;1;0;
2015-16;24;02.03.16;20:00;H;1. FSV Mainz 05;1;2;0;0;0;1;
2015-16;25;05.03.16;18:30;A;Borussia Dortmund;0;0;0;0;1;0;
2015-16;26;12.03.16;18:30;H;Werder Bremen;5;0;1;0;1;0;
2015-16;27;19.03.16;15:30;A;1. FC Köln;1;0;1;0;1;0;
2015-16;28;02.04.16;15:30;H;Eintracht Frankfurt;1;0;1;0;1;0;
2015-16;29;09.04.16;15:30;A;VfB Stuttgart;3;1;1;0;1;0;
2015-16;30;16.04.16;18:30;H;FC Schalke 04;3;0;1;0;1;0;
2015-16;31;23.04.16;15:30;A;Hertha BSC;2;0;1;0;1;0;
2015-16;32;30.04.16;15:30;H;Bor. Mönchengladbach;1;1;0;0;1;0;
2015-16;33;07.05.16;15:30;A;FC Ingolstadt 04;2;1;1;0;1;0;
2015-16;34;14.05.16;15:30;H;Hannover 96;3;1;1;1;1;0;
2014-15;1;22.08.14;20:30;H;VfL Wolfsburg;2;1;1;0;1;0;
2014-15;2;30.08.14;18:30;A;FC Schalke 04;1;1;0;0;1;0;
2014-15;3;13.09.14;15:30;H;VfB Stuttgart;2;0;1;0;1;0;
2014-15;4;20.09.14;15:30;A;Hamburger SV;0;0;0;0;1;0;
2014-15;5;23.09.14;20:00;H;SC Paderborn 07;4;0;1;0;1;0;
2014-15;6;27.09.14;15:30;A;1. FC Köln;2;0;1;0;1;0;
2014-15;7;04.10.14;15:30;H;Hannover 96;4;0;1;0;1;0;
2014-15;8;18.10.14;15:30;H;Werder Bremen;6;0;1;0;1;0;
2014-15;9;26.10.14;17:30;A;Bor. Mönchengladbach;0;0;0;0;1;0;
2014-15;10;01.11.14;18:30;H;Borussia Dortmund;2;1;1;0;1;0;
2014-15;11;08.11.14;15:30;A;Eintracht Frankfurt;4;0;1;0;1;0;
2014-15;12;22.11.14;15:30;H;1899 Hoffenheim;4;0;1;0;1;0;
2014-15;13;29.11.14;15:30;A;Hertha BSC;1;0;1;0;1;0;
2014-15;14;06.12.14;18:30;H;Bayer Leverkusen;1;0;1;0;1;0;
2014-15;15;13.12.14;15:30;A;FC Augsburg;4;0;1;0;1;0;
2014-15;16;16.12.14;20:00;H;SC Freiburg;2;0;1;0;1;0;
2014-15;17;19.12.14;20:30;A;1. FSV Mainz 05;2;1;1;0;1;0;
2014-15;18;30.01.15;20:30;A;VfL Wolfsburg;1;4;0;0;0;1;
2014-15;19;03.02.15;20:00;H;FC Schalke 04;1;1;0;0;1;0;
2014-15;20;07.02.15;15:30;A;VfB Stuttgart;2;0;1;0;1;0;
2014-15;21;14.02.15;15:30;H;Hamburger SV;8;0;1;0;1;0;
2014-15;22;21.02.15;15:30;A;SC Paderborn 07;6;0;1;0;1;0;
2014-15;23;27.02.15;20:30;H;1. FC Köln;4;1;1;0;1;0;
2014-15;24;07.03.15;15:30;A;Hannover 96;3;1;1;0;1;0;
2014-15;25;14.03.15;15:30;A;Werder Bremen;4;0;1;0;1;0;
2014-15;26;22.03.15;17:30;H;Bor. Mönchengladbach;0;2;0;0;0;1;
2014-15;27;04.04.15;18:30;A;Borussia Dortmund;1;0;1;0;1;0;
2014-15;28;11.04.15;15:30;H;Eintracht Frankfurt;3;0;1;0;1;0;
2014-15;29;18.04.15;15:30;A;1899 Hoffenheim;2;0;1;0;1;0;
2014-15;30;25.04.15;18:30;H;Hertha BSC;1;0;1;0;1;0;
2014-15;31;02.05.15;18:30;A;Bayer Leverkusen;0;2;0;1;0;1;
2014-15;32;09.05.15;15:30;H;FC Augsburg;0;1;0;1;0;1;
2014-15;33;16.05.15;15:30;A;SC Freiburg;1;2;0;1;0;1;
2014-15;34;23.05.15;15:30;H;1. FSV Mainz 05;2;0;1;1;1;0;
2013-14;1;09.08.13;20:30;H;Bor. Mönchengladbach;3;1;1;0;1;0;
2013-14;2;17.08.13;15:30;A;Eintracht Frankfurt;1;0;1;0;1;0;
2013-14;3;24.08.13;15:30;H;1. FC Nürnberg;2;0;1;0;1;0;
2013-14;4;27.08.13;18:30;A;SC Freiburg;1;1;0;0;1;0;
2013-14;5;14.09.13;15:30;H;Hannover 96;2;0;1;0;1;0;
2013-14;6;21.09.13;18:30;A;FC Schalke 04;4;0;1;0;1;0;
2013-14;7;28.09.13;15:30;H;VfL Wolfsburg;1;0;1;0;1;0;
2013-14;8;05.10.13;18:30;A;Bayer Leverkusen;1;1;0;0;1;0;
2013-14;9;19.10.13;15:30;H;1. FSV Mainz 05;4;1;1;0;1;0;
2013-14;10;26.10.13;15:30;H;Hertha BSC;3;2;1;0;1;0;
2013-14;11;02.11.13;15:30;A;1899 Hoffenheim;2;1;1;0;1;0;
2013-14;12;09.11.13;15:30;H;FC Augsburg;3;0;1;0;1;0;
2013-14;13;23.11.13;18:30;A;Borussia Dortmund;3;0;1;0;1;0;
2013-14;14;30.11.13;15:30;H;Eintracht Braunschweig;2;0;1;0;1;0;
